date,close,high,low,open,volume
2020-12-30 00:00:00+00:00,271.87,278.08,271.71,277.95,11803795
2020-12-31 00:00:00+00:00,273.16,277.09,269.81,272.0,12900408
2021-01-04 00:00:00+00:00,268.94,275.0,265.2,274.78,15106113
2021-01-05 00:00:00+00:00,270.97,272.4,268.2111,268.29,9871557
2021-01-06 00:00:00+00:00,263.31,267.75,260.01,262.0,24354149
2021-01-07 00:00:00+00:00,268.74,271.61,264.78,265.9,15789756
2021-01-08 00:00:00+00:00,267.57,268.95,263.18,268.31,18528251
2021-01-11 00:00:00+00:00,256.84,263.47,255.9,260.48,30412286
2021-01-12 00:00:00+00:00,251.09,259.72,250.3,256.63,25772128
2021-01-13 00:00:00+00:00,251.64,253.95,249.2,251.55,19528938
2021-01-14 00:00:00+00:00,245.64,255.03,244.61,253.4,29739404
2021-01-15 00:00:00+00:00,251.36,253.86,247.16,247.9,24942930
2021-01-19 00:00:00+00:00,261.1,262.2,252.7201,256.9,28028546
2021-01-20 00:00:00+00:00,267.48,270.32,263.6,268.93,25199919
2021-01-21 00:00:00+00:00,272.87,273.6,267.4901,269.26,20838687
2021-01-22 00:00:00+00:00,274.5,278.47,272.0,272.01,21954042
